number ,article.title,location,lat ,long,duration.hours,duration.of.study.days,camtrap.days,number.of.records,animal.richness ,animal.name,scientific.name,year,n.cams,bait (yes/no),month.of.study,temperature ,notes,mean.temp.for.sampling.period ,max.temp.for. Sampling. period ,mean.annual.temp(°C),N.sites,sample.design,,type
1,"Camera trap, line transect census and track surveys: a comparative evaluation"," Emas National Park (ENP), Brazil ",-18.32,-52.75,24840,2,,,28,,"Panthera onca, Puma concolor, Oncifelis colocolo, Leopardus pardalis, Chrysocyon brachyurus, Dusicyon vetulus, Conepatus semistriatus , Tapirus terrestris, Ozotocerus bezoarticus, Tayassu pecari, Priodontes maximus, Euphractus sexcinctus, Myrmecophaga tetradactyla, Tamandua tridactyla",2002,29,no,"January, March",,,,,,1,grid (1.5 km),,tropical savanna
2,An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,"Los Amigos Conservation Concession, Peru",-12.55,-70.1,3600,2,1440,508,21,,"Didelphis marsupialis, Myrmecophaga tridactyla, Tamandua tetradactyla, Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus spp., Priodontes maximus, Saimiri boliviensis, Atelocynus microtis, Speothos venaticus, Procyon cancrivorus, Nasua nasua, Eira barbara, Galictis vittata, Lontra longicaudis, Mustela african, Pteronura brasiliensis, Puma yagouarundi, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Tapirus terrestris, Mazama americana, Mazama gouazoubira, Tayassu pecari, Pecari tajacu, Dasyprocta punctata, Myoprocta acouchy, Sciurus spadiceus, Hydrochoerus hydrochaeris, Dinomys branickii, Cuniculus paca, Proechimys sp., Sylvilagus brasiliensis, Crypturellus undulaus yapura, Mitu tuberosa, Penelope jacquacu, Psophia leucoptera",2005,26,no,September-November,,,,,24,3,grid( 2km),,tropical forest
,,,,,3600,2,2340,814,27,,,2006,40,no,August-October,,,,,24,3,"grid (2, 1 km)",,
3,Disturbance-mediated mammal persistence and abundance-area relationships in Amazonian forest fragments,"Alta Floresta, Mato Grosso, Brazil",-9.88,-56.47,12600,7,3086,1167,6,,"Myrmecophaga tridactyla, Tamandua tetradactyla, Didelphis marsupialis, Agouti paca, Leopardus pardalis, Tapirus terrestris",2003,,yes ,June-December,,,,,,,grid (500m),,tropical forest
,,,,,12600,7,,,,,,2004,,,June-December,,,,,,,,,
4,Comparison of the relative efficiencies of stereo-BRUVs and traps for sampling tropical continental shelf demersal fishes,"Kimberley Coast, Western Australia",-17.35,125.92,420,,,2522,91,,"most ubiquitous: Scomberomorus spp., Pentapodus nagasakiensis, Pentapodus paradiseus, Lethrinus olivaceous and Carangoides gymnostethus",2006,6,yes ,June-July,,,,,,1,haphazard,,aquatic
5,Comparing methods for sampling large- and medium-sized mammals: camera traps and track plots,"Jataí Ecological Station (EEJ), Brazil",-21.3,-47.6,600,0.3,,17,6,,"Conepatus semistriatus, Puma concolor, Chrysocyon brachyurus, Mazama sp., Dasypus sp., Sylvilagus brasiliensis ",2006,,no,July,,,,,,1,line,,tropical savanna
6,Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation,"Volcan Barva TEAM site, Costa Rica",10.13,-84.1,7200,15,825,22437,26,,"some: Cuniculus paca, Dasyprocta punctata, Dasypus novemcinctus, Eira barbara, Leopardus pardalis, Leopardus wiedii, Mazama temama, Nasua Narica, Panthera Onca, Pecari tajacu, Puma concolor, Puma yaguaroundi, Tapirus bardii",2008-2012,60,no,January-May,,,,,,1,denity along altitudinal gradient (1 cam/km²),,tropical forest
7,"Effects of Private-Land Use, Livestock Management, and Human Tolerance on Diversity, Distribution, and Abundance of Large African Mammals","Laikipia County, Kenya",0.397,37.16,4140,2.3,,"28,586",69,"f 50 mammal species, 14 bird species, 5 livestock species, domestic dogs, and humans.",,2008-210,522,,January-October,,,,,,8,centroid/grid,,African savanna 
8,"Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil","Northeast of São Paulo State, Brazil",-21.63,-47.72,12960,18,,,9,,,2004-2006,21,,August-Jaunaury ,,,,,,7,haphazard,,"semi-decidous forest, savanna"
